epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,426.356,1.04904,1.23596,1.48144,0.6952,0.82843,0.81678,0.49735,1.41901,1.07928,1.92758,0.000351734,0.000351734,0.000351734
43,436.054,1.07217,1.23384,1.51586,0.74035,0.81303,0.8183,0.50323,1.40419,1.04869,1.89498,0.000342899,0.000342899,0.000342899
44,445.845,1.04806,1.18544,1.49096,0.73648,0.77968,0.7919,0.48614,1.44633,1.10493,1.96238,0.000334063,0.000334063,0.000334063
45,455.663,1.09172,1.21042,1.51231,0.74143,0.74129,0.79102,0.47998,1.43661,1.14417,1.94349,0.000325227,0.000325227,0.000325227
46,465.701,1.0518,1.21747,1.48736,0.73121,0.8206,0.8097,0.49703,1.46738,1.11149,1.95222,0.000316391,0.000316391,0.000316391
47,475.99,1.05949,1.21394,1.48564,0.75425,0.77805,0.82369,0.50244,1.4204,1.04874,1.92704,0.000307555,0.000307555,0.000307555
48,486.245,1.06125,1.18596,1.50755,0.78787,0.74528,0.81935,0.51315,1.41498,1.0788,1.90543,0.00029872,0.00029872,0.00029872
49,496.172,1.04366,1.15547,1.48494,0.77339,0.76813,0.82623,0.50174,1.45725,1.06095,1.95229,0.000289884,0.000289884,0.000289884
50,505.793,1.05273,1.14434,1.47525,0.71977,0.82871,0.83492,0.53613,1.33547,1.03208,1.82619,0.000281048,0.000281048,0.000281048
51,515.721,1.06396,1.14581,1.47673,0.73228,0.79735,0.81866,0.50252,1.4577,1.08041,1.96947,0.000272212,0.000272212,0.000272212
52,525.398,1.01275,1.13214,1.465,0.76049,0.7804,0.81148,0.50957,1.38595,1.02065,1.87685,0.000263377,0.000263377,0.000263377
53,535.162,0.99554,1.15506,1.44978,0.7546,0.84855,0.84203,0.54134,1.39276,0.9946,1.88615,0.000254541,0.000254541,0.000254541
54,544.895,1.01919,1.09961,1.4595,0.80494,0.8003,0.85354,0.54004,1.35604,0.955,1.88543,0.000245705,0.000245705,0.000245705
55,554.596,1.00345,1.08103,1.44355,0.80853,0.74822,0.8383,0.52423,1.35826,1.01601,1.85785,0.000236869,0.000236869,0.000236869
56,564.204,1.00523,1.09402,1.44536,0.80054,0.75468,0.83909,0.5151,1.38668,1.02551,1.92569,0.000228034,0.000228034,0.000228034
57,574.163,1.00257,1.09537,1.45548,0.72231,0.81089,0.83329,0.51925,1.41195,1.02992,1.91017,0.000219198,0.000219198,0.000219198
58,584.662,0.99624,1.11494,1.43548,0.76085,0.7799,0.81703,0.51661,1.37315,1.10589,1.88654,0.000210362,0.000210362,0.000210362
59,594.663,0.98878,1.08443,1.43365,0.76781,0.77216,0.81654,0.49909,1.40932,1.07434,1.92988,0.000201527,0.000201527,0.000201527
60,604.803,1.00757,1.06756,1.45745,0.81424,0.76774,0.84611,0.55212,1.33654,1.01034,1.82853,0.000192691,0.000192691,0.000192691
61,614.821,0.98201,1.0464,1.42648,0.80215,0.78393,0.84641,0.53623,1.40029,1.04487,1.89376,0.000183855,0.000183855,0.000183855
